UnmatchedAirportID
N35
PQN
1G5
61C
C91
AOV
7N1
GEO
0M3
SCA
O61
26IN
0TX1
N14
7V5
MRI
06A
E36
8D4
42B
2W2
4B9
1TE4
15G
T15
C89
S12
4B8
""
N13
3J1
3NR3
RVN
LQR
O85
1B1
3OH0
FD51
1T7
AQY
6K8
S69
2GA5
1O5
01TX
RVJ
SPK
3MN4
7XS0
T41
7FL6
X23
LFTZ
PVT
O43
MD50
I18
1C5
0B5
33K
8A1
AK61
LWL
DZJ
3R9
H49
M43
02C
1L8
DWA
13K
JVY
1N7
MYEH
JSY
STX
7S3
WI14
01LA
3A4
3G3
E45
10G
3C8
L06
5V5
52LA
1T8
54T
PRZ
48AZ
47N
SXU
0Q4
MVI
3B0
97OG
U56
1M5
KFME
5GA4
7T7
TJVQ
BTF
53II
S50
7NK4
M44
EIWT
U42
42I
81KS
N98
3AU
JAQ
3M0
NV33
I69
FNHU
LSGL
1I9
T31
COI
TRX
W41
SLB
SBJD
28U
Y47
KHEG
X40
1L9
SBS
2U4
MEV
7B2
2V1
WA71
PLR
78FL
SCD
6JO
6Y8
